year_month,actual_revenue,actual_gross_profit,actual_ebit,actual_net_profit,budget_revenue,budget_gross_profit,budget_ebit,revenue_variance,variance_pct,status
2025-01,407267.41,150123.75,45694.15,34270.61,425302.2,157361.81,51036.27,-18034.79,-4.2,Below
2025-02,421020.18,143119.83,29350.89,22013.17,429023.71,158738.78,51482.84,-8003.53,-1.9,Below
2025-03,419888.08,138679.0,34063.08,25547.31,439191.09,162500.7,52702.93,-19303.01,-4.4,Below
2025-04,456908.38,169409.32,58344.4,43758.3,453079.98,167639.59,54369.6,3828.4,0.8,Above
2025-05,463892.34,169479.76,52769.06,39576.79,466968.87,172778.48,56036.27,-3076.53,-0.7,Below
2025-06,481610.56,176486.36,57793.99,43345.5,477136.24,176540.41,57256.35,4474.32,0.9,Above
2025-07,483779.52,178303.48,44205.65,33154.24,480857.76,177917.37,57702.93,2921.76,0.6,Above
2025-08,509738.23,170100.78,31286.42,23464.81,477136.24,176540.41,57256.35,32601.99,6.8,Above
2025-09,475738.03,165520.34,39289.84,29467.38,466968.87,172778.48,56036.27,8769.16,1.9,Above
2025-10,446907.47,150068.6,27232.32,20424.24,453079.98,167639.59,54369.6,-6172.51,-1.4,Below
2025-11,453170.54,169102.93,45773.98,34330.49,439191.09,162500.7,52702.93,13979.45,3.2,Above
2025-12,417038.99,150619.85,47418.21,35563.66,429023.71,158738.78,51482.84,-11984.72,-2.8,Below
