year_month,eur_revenue,inr_revenue_eur,aed_revenue_eur,eur_inr_rate,eur_aed_rate,fx_impact_eur,total_reported_rev,constant_currency_rev,fx_impact_pct,fx_flag,eur_share_pct,inr_share_pct,aed_share_pct
2023-01,273672.4,873.34,9960.53,89.5318,3.9251,0.0,284506.27,284506.27,0.0,False,96.2,0.3,3.5
2023-02,272460.96,891.12,9864.28,87.3575,3.9459,-30.51,283216.36,283246.87,-0.01,False,96.2,0.3,3.5
2023-03,288870.58,935.18,10661.83,88.2555,3.8706,161.49,300467.59,300306.1,0.05,False,96.1,0.3,3.5
2023-04,309313.45,1019.04,11527.86,86.7239,3.8331,302.11,321860.35,321558.24,0.09,False,96.1,0.3,3.6
2023-05,307643.11,1031.47,11411.09,85.2166,3.8514,263.89,320085.67,319821.78,0.08,False,96.1,0.3,3.6
2023-06,317450.87,1075.42,11735.31,84.3393,3.8644,243.8,330261.6,330017.8,0.07,False,96.1,0.3,3.6
2023-07,336805.39,1134.38,12537.03,84.8305,3.8378,338.29,350476.8,350138.5,0.1,False,96.1,0.3,3.6
2023-08,327544.07,1126.19,12083.65,83.0976,3.8723,243.36,340753.92,340510.56,0.07,False,96.1,0.3,3.5
2023-09,309026.42,1071.88,11416.0,82.3722,3.8671,254.45,321514.3,321259.85,0.08,False,96.1,0.3,3.6
2023-10,306117.5,1059.72,11191.54,82.5336,3.9075,132.98,318368.76,318235.78,0.04,False,96.2,0.3,3.5
2023-11,286257.29,997.41,10324.36,82.0,3.9609,-10.3,297579.06,297589.36,-0.0,False,96.2,0.3,3.5
2023-12,278110.25,954.35,9989.84,83.2606,3.977,-65.36,289054.44,289119.8,-0.02,False,96.2,0.3,3.5
2024-01,281612.48,981.23,10046.87,82.0,4.0043,-120.1,292640.58,292760.68,-0.04,False,96.2,0.3,3.4
2024-02,267630.82,932.51,9594.39,82.0,3.9849,-67.8,278157.73,278225.53,-0.02,False,96.2,0.3,3.4
2024-03,279020.69,962.13,9901.61,82.8583,4.0256,-181.86,289884.43,290066.28,-0.06,False,96.3,0.3,3.4
2024-04,301876.78,1051.84,10676.3,82.0,4.0393,-222.26,313604.92,313827.18,-0.07,False,96.3,0.3,3.4
2024-05,311182.22,1084.26,11023.93,82.0,4.0326,-210.58,323290.41,323500.99,-0.07,False,96.3,0.3,3.4
2024-06,332137.3,1157.27,11895.35,82.0,3.9888,-95.7,345189.92,345285.62,-0.03,False,96.2,0.3,3.4
2024-07,325992.6,1135.86,11717.63,82.0,3.9744,-51.58,338846.09,338897.67,-0.02,False,96.2,0.3,3.5
2024-08,319314.27,1112.59,11592.44,82.0,3.935,64.34,332019.31,331954.97,0.02,False,96.2,0.3,3.5
2024-09,335361.45,1168.51,12066.29,82.0,3.9705,-41.16,348596.25,348637.4,-0.01,False,96.2,0.3,3.5
2024-10,309743.48,1079.25,10995.52,82.0,4.0243,-187.05,321818.24,322005.3,-0.06,False,96.2,0.3,3.4
2024-11,234621.84,812.86,8243.47,82.468,4.0659,-231.64,243678.18,243909.82,-0.1,False,96.3,0.3,3.4
2024-12,280134.49,961.34,9760.78,83.2571,4.1,-367.56,290856.62,291224.18,-0.13,False,96.3,0.3,3.4
2025-01,285087.19,986.33,9933.35,82.5828,4.1,-366.07,296006.86,296372.93,-0.12,False,96.3,0.3,3.4
2025-02,294714.13,996.8,10268.78,84.474,4.1,-401.26,305979.72,306380.98,-0.13,False,96.3,0.3,3.4
2025-03,293921.65,1004.97,10241.17,83.5626,4.1,-389.34,305167.79,305557.13,-0.13,False,96.3,0.3,3.4
2025-04,319835.86,1074.49,11144.11,85.0464,4.1,-442.74,332054.46,332497.21,-0.13,False,96.3,0.3,3.4
2025-05,324724.64,1102.38,11351.6,84.1619,4.0866,-400.9,337178.61,337579.51,-0.12,False,96.3,0.3,3.4
2025-06,337127.39,1148.23,11746.6,83.8878,4.1,-451.04,350022.22,350473.26,-0.13,False,96.3,0.3,3.4
2025-07,338645.66,1154.0,11799.5,83.8438,4.1,-452.46,351599.17,352051.63,-0.13,False,96.3,0.3,3.4
2025-08,356816.76,1205.74,12655.16,84.5517,4.0279,-264.4,370677.67,370942.07,-0.07,False,96.3,0.3,3.4
2025-09,333016.62,1160.34,11877.1,82.0,4.0055,-145.69,346054.06,346199.75,-0.04,False,96.2,0.3,3.4
2025-10,312835.23,1089.77,10947.63,82.0185,4.0822,-346.81,324872.63,325219.44,-0.11,False,96.3,0.3,3.4
2025-11,317219.38,1104.42,11052.94,82.0648,4.1,-400.4,329376.74,329777.14,-0.12,False,96.3,0.3,3.4
2025-12,291927.29,1008.64,10171.68,82.6934,4.1,-376.21,303107.61,303483.82,-0.12,False,96.3,0.3,3.4
