client_supplier,aging_bucket,invoice_count,total_amount
EastFlow Ltd,1-30 days,3,73694.25
EastFlow Ltd,31-60 days,4,232696.36
EastFlow Ltd,61-90 days,1,25361.32
EastFlow Ltd,90+ days,1,47171.19
EastFlow Ltd,Paid,13,643048.79
Meridian Tech GmbH,1-30 days,16,506348.37
Meridian Tech GmbH,31-60 days,2,69502.83
Meridian Tech GmbH,61-90 days,8,259412.48
Meridian Tech GmbH,90+ days,6,284199.33
Meridian Tech GmbH,Paid,52,1996542.38
NordBau AG,1-30 days,8,414125.66
NordBau AG,31-60 days,2,139939.59
NordBau AG,61-90 days,3,160144.33000000002
NordBau AG,90+ days,1,78922.52
NordBau AG,Paid,7,337268.31
Solaris Parts SRL,1-30 days,11,489264.47
Solaris Parts SRL,31-60 days,2,59716.3
Solaris Parts SRL,61-90 days,4,115202.29000000001
Solaris Parts SRL,90+ days,2,44458.24
Solaris Parts SRL,Paid,17,826497.04
Ventis Industries,1-30 days,4,193953.71000000002
Ventis Industries,31-60 days,1,40235.16
Ventis Industries,Paid,12,567082.65
