year_month,total_inflow,total_outflow,net_cashflow,txn_count,closing_balance
2023-01,737339.1799999999,509731.99000000005,227607.19,95,387452.13
2023-02,304357.50000000006,567549.7,-263192.2,90,124259.91
2023-03,246870.55,651013.4299999999,-404142.88,89,-279883.0
2023-04,444454.68,464748.7,-20294.019999999997,90,-300177.0
2023-05,300222.65,597164.72,-296942.07,82,-597119.08
2023-06,457102.93,602659.6799999999,-145556.75,103,-742675.87
2023-07,431270.18999999994,600086.42,-168816.23,99,-911492.1
2023-08,259214.33000000002,465568.0,-206353.66999999998,73,-1117845.77
2023-09,318092.74,403753.44,-85660.70000000001,74,-1203506.45
2023-10,205857.65000000002,516079.82,-310222.17,79,-1513728.63
2023-11,361450.18000000005,434114.8,-72664.62,78,-1586393.22
2023-12,346262.77,566309.58,-220046.81,77,-1806440.05
2024-01,361552.87000000005,525742.39,-164189.52,97,-1970629.57
2024-02,298897.00999999995,484459.63,-185562.62,74,-2156192.2
2024-03,338559.32,451942.73,-113383.41000000002,78,-2269575.58
2024-04,328303.91,640115.1699999999,-311811.26,83,-2565879.18
2024-05,283885.21,429511.53,-145626.32,78,-2711505.52
2024-06,346812.79999999993,540990.15,-194177.35,94,-2905682.83
2024-07,375173.43000000005,526116.01,-150942.58000000002,85,-3056625.38
2024-08,362712.97,530997.94,-168284.97,82,-3224910.35
2024-09,334977.0900000001,510529.66000000003,-175552.57,76,-3400462.92
2024-10,422133.4699999999,590050.7,-167917.22999999998,85,-3568380.15
2024-11,323216.97,545101.32,-221884.34999999998,70,-3736301.36
2024-12,402039.72,394978.62,7061.100000000007,81,-3729240.26
2025-01,233147.6,568334.6200000001,-335187.02,81,-4064427.33
2025-02,267774.07,460869.58999999997,-193095.52,69,-4257522.82
2025-03,266402.59,498038.79,-231636.19999999998,75,-4489158.99
2025-04,195128.28000000003,505798.8500000001,-310670.57,64,-4799829.6
2025-05,347367.16,407978.98,-60611.82,80,-4860441.4
2025-06,296169.62999999995,398962.76999999996,-102793.14,75,-4963234.57
2025-07,436965.34,526693.75,-89728.41,79,-5052962.98
2025-08,200192.36000000002,371184.72,-170992.36000000002,70,-5223955.33
2025-09,220651.62000000002,589998.56,-369346.94,82,-5593302.27
2025-10,297136.66000000003,612663.16,-315526.5,98,-5908828.72
2025-11,315053.37999999995,389354.93,-74301.55,71,-5983130.32
2025-12,469434.88,584234.5,-114799.62000000001,94,-6097929.95
