year_month,revenue,cogs,gross_profit,gross_margin_pct,operating_expenses,ebit,ebit_margin_pct,net_profit,revenue_mom_pct,gross_margin_3m_avg,ebit_3m_avg,ebit_anomaly_flag,year
2023-01,390960.57,255850.24,135110.33,34.56,99005.26,36105.07,9.23,27078.8,,,,False,2023
2023-02,389229.94,250662.76,138567.18,35.6,94404.74,44162.44,11.35,33121.83,-0.4426610079886095,,,False,2023
2023-03,412672.26,265209.81,147462.46,35.73,104174.69,43287.76,10.49,32465.82,6.022743265844355,35.29666666666667,10.356666666666667,False,2023
2023-04,441876.36,291973.02,149903.34,33.92,111797.96,38105.38,8.62,28579.04,7.076826535420611,35.083333333333336,10.153333333333334,False,2023
2023-05,439490.16,273152.26,166337.9,37.85,118303.83,48034.07,10.93,36025.55,-0.5400153110702743,35.833333333333336,10.013333333333334,False,2023
2023-06,453501.25,286269.65,167231.6,36.88,120405.62,46825.97,10.33,35119.48,3.188032696795773,36.21666666666667,9.959999999999999,False,2023
2023-07,481150.55,299768.85,181381.7,37.7,132551.45,48830.26,10.15,36622.69,6.096851993241481,37.47666666666667,10.469999999999999,False,2023
2023-08,467920.11,292571.09,175349.02,37.47,121139.18,54209.84,11.59,40657.38,-2.7497505718324544,37.35,10.69,False,2023
2023-09,441466.31,282584.79,158881.52,35.99,108063.79,50817.73,11.51,38113.3,-5.653486446650047,37.053333333333335,11.083333333333334,False,2023
2023-10,437310.72,272840.91,164469.81,37.61,117430.96,47038.86,10.76,35279.14,-0.9413153180363953,37.02333333333333,11.286666666666667,False,2023
2023-11,408938.99,272179.72,136759.27,33.44,110589.94,26169.32,6.4,19626.99,-6.487773727568347,35.68,9.556666666666667,False,2023
2023-12,397300.35,262298.03,135002.32,33.98,104271.91,30730.41,7.73,23047.81,-2.8460577945869203,35.01,8.296666666666667,False,2023
2024-01,402303.55,268633.62,133669.93,33.23,108959.36,24710.56,6.14,18532.92,1.2592991674938103,33.54999999999999,6.756666666666667,False,2024
2024-02,382329.75,249941.76,132387.99,34.63,99310.85,33077.14,8.65,24807.86,-4.964858003365869,33.946666666666665,7.506666666666668,False,2024
2024-03,398600.99,259316.3,139284.68,34.94,140398.26,-1113.57,-0.28,-835.18,4.25581320836268,34.266666666666666,4.836666666666667,True,2024
2024-04,431252.55,283088.21,148164.34,34.36,110875.74,37288.6,8.65,27966.45,8.191540116345418,34.64333333333333,5.673333333333335,False,2024
2024-05,444546.03,279425.24,165120.79,37.14,107143.05,57977.74,13.04,43483.31,3.0825278598352712,35.48,7.136666666666668,False,2024
2024-06,474481.86,309439.2,165042.66,34.78,115923.35,49119.32,10.35,36839.49,6.734022571295917,35.42666666666667,10.680000000000001,False,2024
2024-07,465703.71,305479.87,160223.84,34.4,112354.36,47869.48,10.28,35902.11,-1.8500496520562404,35.44,11.223333333333334,False,2024
2024-08,456163.24,293251.47,162911.77,35.71,121091.46,41820.31,9.17,31365.23,-2.0486136990405357,34.96333333333333,9.933333333333334,False,2024
2024-09,479087.79,317613.06,161474.72,33.7,121005.23,40469.49,8.45,30352.12,5.025514550449084,34.60333333333333,9.3,False,2024
2024-10,442490.68,278720.52,163770.16,37.01,115199.28,48570.88,10.98,36428.16,-7.638915197567442,35.47333333333333,9.533333333333333,False,2024
2024-11,335174.06,223317.25,111856.81,33.37,92609.49,19247.33,5.74,14435.5,-24.252854320005113,34.693333333333335,8.39,False,2024
2024-12,400192.13,248381.51,151810.62,37.93,100036.7,51773.92,12.94,38830.44,19.3983000951804,36.10333333333333,9.886666666666668,False,2024
2025-01,407267.41,257143.66,150123.75,36.86,104429.6,45694.15,11.22,34270.61,1.7679707994257665,36.053333333333335,9.966666666666667,False,2025
2025-02,421020.18,277900.36,143119.83,33.99,113768.93,29350.89,6.97,22013.17,3.3768402927206953,36.26,10.376666666666667,False,2025
2025-03,419888.08,281209.08,138679.0,33.03,104615.92,34063.08,8.11,25547.31,-0.2688944743693744,34.626666666666665,8.766666666666667,False,2025
2025-04,456908.38,287499.05,169409.32,37.08,111064.92,58344.4,12.77,43758.3,8.816706585240519,34.7,9.283333333333333,False,2025
2025-05,463892.34,294412.58,169479.76,36.53,116710.7,52769.06,11.38,39576.79,1.5285252592653231,35.54666666666667,10.753333333333336,False,2025
2025-06,481610.56,305124.2,176486.36,36.65,118692.37,57793.99,12.0,43345.5,3.819468111933033,36.75333333333333,12.050000000000002,False,2025
2025-07,483779.52,305476.04,178303.48,36.86,134097.83,44205.65,9.14,33154.24,0.45035557359871525,36.68,10.840000000000002,False,2025
2025-08,509738.23,339637.44,170100.78,33.37,138814.37,31286.42,6.14,23464.81,5.365814162616878,35.626666666666665,9.093333333333334,False,2025
2025-09,475738.03,310217.69,165520.34,34.79,126230.5,39289.84,8.26,29467.38,-6.670129489797139,35.00666666666666,7.8466666666666685,False,2025
2025-10,446907.47,296838.87,150068.6,33.58,122836.28,27232.32,6.09,20424.24,-6.06017559706128,33.913333333333334,6.830000000000001,False,2025
2025-11,453170.54,284067.61,169102.93,37.32,123328.95,45773.98,10.1,34330.49,1.401424326158618,35.23,8.15,False,2025
2025-12,417038.99,266419.14,150619.85,36.12,103201.64,47418.21,11.37,35563.66,-7.973058001519695,35.67333333333334,9.186666666666667,False,2025
